timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751228921400,337,/web/index.php/api/v2/performance/config/trackers-262,200,OK,TG_performance 1-3,text,true,,1419,876,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&empNumber=199&sortField=performanceTracker.modifiedDate&sortOrder=DESC,337,0,0
1751228918709,1226,click performance tracker,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-1,,true,,7628,2631,5,5,null,0,3177,0
1751228918710,337,/web/index.php/performance/viewPerformanceTracker-254,200,OK,TG_performance 1-1,text,true,,3210,893,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceTracker,337,0,0
1751228920117,494,/web/index.php/api/v2/performance/config/trackers-257,200,OK,TG_performance 1-1,text,true,,2999,862,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&sortField=performanceTracker.modifiedDate&sortOrder=DESC,494,0,0
1751228921635,395,/web/index.php/api/v2/performance/config/trackers-262,200,OK,TG_performance 1-1,text,true,,1419,876,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&empNumber=200&sortField=performanceTracker.modifiedDate&sortOrder=DESC,394,0,0
1751228919322,1164,click performance tracker,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-5,,true,,7628,2631,5,5,null,0,3097,0
1751228919322,353,/web/index.php/performance/viewPerformanceTracker-254,200,OK,TG_performance 1-5,text,true,,3210,893,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/performance/viewPerformanceTracker,353,0,0
1751228920721,362,/web/index.php/api/v2/performance/config/trackers-257,200,OK,TG_performance 1-5,text,true,,2999,862,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&sortField=performanceTracker.modifiedDate&sortOrder=DESC,362,0,0
1751228922123,449,/web/index.php/api/v2/performance/config/trackers-262,200,OK,TG_performance 1-5,text,true,,1419,876,5,5,https://opensource-demo.orangehrmlive.com/web/index.php/api/v2/performance/config/trackers?limit=50&offset=0&empNumber=201&sortField=performanceTracker.modifiedDate&sortOrder=DESC,449,0,0
1751228919364,1320,click performance tracker,200,"Number of samples in transaction : 3, number of failing samples : 0",TG_performance 1-4,,true,,7628,2631,5,5,null,0,3132,0
